1.9247,4.2905,6.8762,9.4478,11.948,14.341,16.596,18.686,20.586,22.274,23.735,24.959,25.946,26.703,27.245,27.595,27.783,27.838,27.791,27.665,27.476,27.23,26.924,26.542,26.062,25.458,24.705,23.777,22.658,21.336,19.812,18.095,16.203,14.168,12.028,9.8329,7.6396,5.5164,3.5449,1.835,0.59796
1.8728,4.1753,6.693,9.1991,11.638,13.977,16.185,18.237,20.108,21.776,23.227,24.451,25.445,26.215,26.777,27.151,27.365,27.448,27.428,27.329,27.166,26.945,26.661,26.3,25.84,25.255,24.52,23.609,22.506,21.2,19.692,17.989,16.112,14.091,11.965,9.7821,7.6009,5.4889,3.5274,1.826,0.59505
1.8153,4.0473,6.4893,8.9219,11.292,13.568,15.722,17.728,19.563,21.206,22.641,23.858,24.855,25.636,26.215,26.612,26.851,26.962,26.971,26.9,26.764,26.569,26.311,25.973,25.536,24.973,24.258,23.369,22.286,21.001,19.513,17.831,15.974,13.973,11.867,9.7035,7.5407,5.4459,3.5,1.8119,0.59047
1.7533,3.9095,6.2696,8.6225,10.918,13.125,15.218,17.171,18.964,20.574,21.988,23.195,24.19,24.979,25.573,25.99,26.254,26.393,26.43,26.388,26.281,26.114,25.882,25.57,25.158,24.62,23.929,23.063,22.005,20.745,19.282,17.625,15.794,13.819,11.738,9.5999,7.4612,5.3891,3.4638,1.7933,0.58439
1.688,3.7643,6.0379,8.3061,10.521,12.654,14.681,16.577,18.321,19.895,21.282,22.473,23.463,24.256,24.862,25.297,25.585,25.75,25.815,25.803,25.725,25.587,25.383,25.098,24.713,24.201,23.537,22.699,21.669,20.437,19.003,17.377,15.576,13.632,11.582,9.4737,7.3643,5.3196,3.4195,1.7704,0.57697
1.6204,3.6138,5.7975,7.9776,10.109,12.164,14.119,15.953,17.645,19.177,20.533,21.704,22.685,23.478,24.092,24.544,24.853,25.043,25.136,25.152,25.104,24.995,24.819,24.564,24.207,23.723,23.089,22.28,21.281,20.081,18.681,17.088,15.323,13.414,11.4,9.3267,7.2512,5.2386,3.3677,1.7437,0.56829
1.5512,3.4599,5.5515,7.6409,9.6854,11.659,13.541,15.309,16.944,18.43,19.751,20.897,21.865,22.654,23.274,23.739,24.067,24.28,24.4,24.444,24.425,24.345,24.199,23.972,23.644,23.191,22.588,21.812,20.846,19.682,18.318,16.763,15.037,13.168,11.194,9.1602,7.1231,5.1468,3.3091,1.7135,0.55845
1.4813,3.3042,5.3025,7.2998,9.2558,11.146,12.951,14.651,16.226,17.662,18.944,20.063,21.013,21.795,22.417,22.891,23.236,23.47,23.615,23.686,23.694,23.643,23.526,23.329,23.031,22.609,22.039,21.297,20.367,19.241,17.917,16.404,14.721,12.896,10.965,8.9756,6.981,5.045,3.244,1.6799,0.54753
1.4113,3.1482,5.0528,6.9574,8.824,10.63,12.357,13.985,15.499,16.882,18.122,19.209,20.138,20.909,21.529,22.01,22.368,22.621,22.788,22.884,22.919,22.895,22.807,22.639,22.372,21.982,21.445,20.739,19.848,18.762,17.481,16.013,14.376,12.598,10.716,8.774,6.8257,4.9336,3.1728,1.6432,0.53559
1.3417,2.9931,4.8043,6.6165,8.3936,10.115,11.762,13.318,14.768,16.096,17.291,18.343,19.248,20.005,20.62,21.104,21.472,21.741,21.927,22.046,22.106,22.109,22.048,21.909,21.672,21.315,20.812,20.143,19.291,18.248,17.012,15.592,14.005,12.278,10.447,8.5565,6.6581,4.8134,3.0959,1.6035,0.52268
1.273,2.8399,4.5589,6.2794,7.9676,9.6039,11.172,12.655,14.039,15.311,16.459,17.473,18.35,19.09,19.696,20.18,20.555,20.836,21.04,21.179,21.262,21.289,21.254,21.143,20.936,20.611,20.143,19.512,18.701,17.702,16.514,15.144,13.609,11.936,10.16,8.3241,6.479,4.6849,3.0137,1.5611,0.50888
1.2055,2.6896,4.3179,5.9481,7.5485,9.1007,10.589,12,13.318,14.532,15.63,16.605,17.452,18.171,18.766,19.247,19.625,19.915,20.133,20.29,20.393,20.442,20.432,20.347,20.169,19.875,19.442,18.849,18.081,17.128,15.988,14.67,13.191,11.575,9.8565,8.0779,6.2891,4.5486,2.9265,1.5161,0.49424
1.1397,2.5428,4.0825,5.6243,7.1385,8.608,10.018,11.356,12.608,13.764,14.812,15.745,16.56,17.255,17.836,18.31,18.688,18.985,19.214,19.385,19.505,19.575,19.587,19.527,19.377,19.113,18.714,18.16,17.434,16.527,15.438,14.175,12.752,11.195,9.5374,7.8192,6.0895,4.4053,2.8348,1.4688,0.47884
1.0757,2.4001,3.8536,5.3094,6.7395,8.1279,9.4613,10.727,11.914,13.01,14.007,14.898,15.678,16.349,16.912,17.376,17.752,18.052,18.289,18.471,18.607,18.694,18.725,18.688,18.564,18.33,17.964,17.448,16.764,15.905,14.868,13.659,12.296,10.8,9.2046,7.5492,5.881,4.2555,2.7389,1.4193,0.46273
1.0138,2.2621,3.632,5.0043,6.3527,7.6621,8.9203,10.116,11.237,12.275,13.221,14.068,14.813,15.456,16,16.452,16.823,17.123,17.364,17.555,17.702,17.804,17.853,17.837,17.736,17.53,17.197,16.718,16.076,15.264,14.279,13.127,11.823,10.391,8.8598,7.2692,5.6647,4.1001,2.6394,1.3679,0.44599
0.95419,2.129,3.4183,4.71,5.9792,7.2121,8.3972,9.5237,10.582,11.562,12.456,13.259,13.968,14.582,15.105,15.543,15.905,16.202,16.445,16.643,16.799,16.912,16.977,16.978,16.899,16.719,16.417,15.974,15.374,14.609,13.676,12.581,11.338,9.9698,8.5049,6.9808,5.4418,3.9397,2.5367,1.3148,0.42872
0.89686,2.001,3.2129,4.4269,5.62,6.7789,7.8932,8.9527,9.9484,10.872,11.716,12.475,13.146,13.731,14.23,14.652,15.004,15.296,15.539,15.739,15.901,16.024,16.101,16.118,16.058,15.903,15.63,15.221,14.662,13.943,13.062,12.025,10.843,9.5397,8.1418,6.6855,5.2134,3.7754,2.4313,1.2604,0.411
0.84194,1.8785,3.0161,4.1556,5.2754,6.3632,7.4092,8.404,9.3392,10.207,11.001,11.717,12.351,12.905,13.381,13.784,14.124,14.409,14.648,14.849,15.015,15.145,15.231,15.261,15.219,15.085,14.84,14.464,13.944,13.271,12.441,11.461,10.341,9.1028,7.7726,6.385,4.9807,3.6079,2.324,1.2049,0.39293
0.78946,1.7614,2.828,3.8963,4.9459,5.9655,6.9458,7.8782,8.755,9.5691,10.315,10.987,11.585,12.107,12.558,12.943,13.269,13.545,13.779,13.978,14.145,14.279,14.372,14.413,14.386,14.272,14.052,13.707,13.225,12.596,11.817,10.893,9.8348,8.6617,7.3995,6.0809,4.7452,3.4382,2.2151,1.1486,0.37461
0.73943,1.6497,2.6486,3.6489,4.6316,5.5859,6.5033,7.376,8.1965,8.9586,9.6568,10.287,10.848,11.34,11.766,12.131,12.441,12.706,12.934,13.129,13.295,13.431,13.529,13.579,13.564,13.468,13.27,12.956,12.509,11.923,11.194,10.325,9.3272,8.219,7.0246,5.7752,4.5081,3.2673,2.1055,1.0919,0.35614
0.69184,1.5435,2.4779,3.4135,4.3324,5.2245,6.0819,6.8973,7.6639,8.376,9.0285,9.6182,10.144,10.605,11.005,11.349,11.644,11.897,12.116,12.305,12.469,12.604,12.705,12.762,12.758,12.676,12.5,12.213,11.801,11.256,10.574,9.7591,8.8213,7.7772,6.65,5.4694,4.2708,3.0962,1.9956,1.0351,0.33762
0.64665,1.4426,2.3158,3.1899,4.0482,4.8812,5.6814,6.4422,7.1573,7.8214,8.4301,8.9803,9.4708,9.9022,10.277,10.601,10.879,11.119,11.328,11.51,11.669,11.803,11.905,11.966,11.97,11.902,11.745,11.483,11.103,10.597,9.9616,9.1995,8.32,7.3388,6.278,5.1654,4.0348,2.9258,1.8862,0.97842,0.31917
0.60381,1.347,2.1622,2.978,3.7787,4.5555,5.3015,6.0103,6.6764,7.2947,7.8614,8.3736,8.8305,9.2326,9.5828,9.8855,10.147,10.373,10.571,10.746,10.899,11.029,11.131,11.194,11.205,11.148,11.008,10.77,10.42,9.9513,9.36,8.6487,7.8259,6.9063,5.9105,4.8648,3.8011,2.7571,1.7777,0.9223,0.30088
0.56326,1.2565,2.0167,2.7773,3.5235,4.2472,4.9417,5.6013,6.2208,6.7956,7.3221,7.7981,8.2226,8.5964,8.9223,9.2045,9.4487,9.6611,9.8478,10.013,10.16,10.285,10.385,10.449,10.465,10.418,10.293,10.076,9.7545,9.3209,8.7719,8.1095,7.3416,6.4817,5.5494,4.5692,3.5712,2.591,1.6709,0.86698,0.28285
0.52493,1.1709,1.8792,2.5876,3.2823,3.9557,4.6016,5.2146,5.7899,6.3234,6.8118,7.2532,7.6467,7.9933,8.2956,8.5578,8.785,8.9834,9.1584,9.3143,9.453,9.5732,9.6696,9.7333,9.7527,9.7137,9.6021,9.4044,9.1091,8.7088,8.1999,7.5844,6.8692,6.0672,5.1964,4.28,3.3461,2.4282,1.5662,0.81275,0.26517
0.48873,1.0901,1.7494,2.4085,3.0546,3.6805,4.2804,4.8494,5.383,5.8774,6.3298,6.7382,7.1023,7.4229,7.7025,7.9451,8.1558,8.3401,8.5032,8.6492,8.7797,8.8935,8.9858,9.0482,9.0697,9.0373,8.9374,8.7573,8.4864,8.1171,7.6463,7.0754,6.4109,5.6646,4.8532,3.9985,3.1269,2.2696,1.4641,0.75986,0.24793
0.45458,1.0139,1.6269,2.2396,2.8398,3.4209,3.9776,4.5051,4.9993,5.4569,5.8751,6.2525,6.5886,6.8844,7.1423,7.3662,7.5607,7.7311,7.8824,8.0182,8.1402,8.2472,8.3346,8.3948,8.4174,8.3903,8.3007,8.1366,7.888,7.5479,7.1129,6.5844,5.9682,5.2752,4.5211,3.7259,2.9144,2.1157,1.3651,0.70853,0.2312
0.42241,0.9421,1.5115,2.0804,2.6375,3.1765,3.6923,4.1807,4.638,5.0608,5.447,5.795,6.1046,6.3769,6.6142,6.8201,6.9991,7.1561,7.2956,7.4213,7.5346,7.6344,7.7165,7.7738,7.7966,7.7737,7.693,7.5434,7.3155,7.0025,6.6013,6.1129,5.5426,4.9006,4.2012,3.4631,2.7094,1.9673,1.2695,0.65897,0.21503
